iteration,int.f0,app.mthd.os.f0,app.rate.ni.f0,man.dm.f0,man.source.pig.f0,app.mthd.cs.f0,int.r1,app.mthd.bc.r1,man.dm.r1,air.temp.r1,wind.sqrt.r1,app.mthd.ts.r1,man.ph.r1,int.r2,rain.rate.r2,int.r3,app.mthd.bc.r3,app.mthd.cs.r3,man.ph.r3,incorp.shallow.f4,incorp.shallow.r3,incorp.deep.f4,incorp.deep.r3,rain.rate.r5,int.r5
1,1.69740499883877,-4.45252807821418,-0.0583340323586592,0.252228896641166,-1.29888095224116,-11.0065016765318,-1.54877259073559,0.554629818525145,-0.108859001885212,0.0353081222773315,1.09660988775254,-0.281212801682899,0.657724384408772,-1.75425848138457,3.27839328833942,-2.64933436972692,0.732639787497338,-0.262483664747406,0.100402476948748,7.18868003885008,-0.867500870304408,2.05853984632144,-11.2450792316584,-0.459527207033054,-1.8
2,1.10443501339482,-4.28492067677497,-0.04371631452737,0.809346019846543,0.302985750007191,-6.7148363595347,-1.29578971432766,0.424266933720912,-0.100222141472955,0.0681837048084689,0.815997226398951,-0.404775836662707,0.661560347733257,-1.49005117059714,1.07952518183385,-2.6431523153826,0.24455114077677,-0.768299256293798,0.0168028090386097,-0.909327977226303,-0.238320744462783,-0.899349769901973,-1.28303778577535,-0.374719356958299,-1.8
3,0.370787189385836,-3.83512888416685,-0.0354532938807779,0.795210480884014,-0.171608728826878,-7.18334289293036,-1.14057495599963,0.368142801573834,-0.129192520048573,0.0879226504090773,0.964506431806793,-0.690263698198808,0.821136927107543,-1.78216592374126,1.42655183274297,-2.62952665321034,0.432592857280796,-0.73430534772984,0.0368504276176397,-1.01471483020081,-0.235210493011784,-2.04660309864301,-3.66179575919276,-0.243001718303301,-1.8
4,1.20029581480806,-3.21381663958871,-0.0226688608469835,0.525887718374024,-0.94080223846345,-6.64893101259493,-1.23132870960514,0.636358027313019,-0.0449915966233098,0.0230899506082423,0.520162543689902,-0.0532317755571657,0.430060465250586,-1.06049001732606,0.362813322076088,-2.71416877945488,0.322769433514305,-0.262620479038605,0.0885531018936248,-1.02092070393605,-0.135252511428332,-1.39098511438459,-2.31652716139487,0.723235216809165,-1.8
5,1.54384664013986,-3.69604033312573,-0.0238425839705151,0.533173449606515,-1.25021430259614,-7.24492165653527,-1.15427254905117,0.600405239680851,-0.0474768459903534,0.0253444459249477,0.515168152967868,-0.159733887110245,0.444775975473855,-1.00040552737582,0.195388911301145,-2.72395085543001,0.380605963041467,-0.281376311371797,0.0339484707992641,-0.909961001362938,-0.278427612934615,-1.60291744179706,-0.983998591772343,0.851948189892764,-1.8
6,0.89493245337767,-3.76683745782508,-0.00305973515489369,0.219815226732178,-1.5460604671926,-11.1449509479765,-1.50827624732666,0.818217558641826,0.0169134251008882,0.0366574045661557,0.904393794803926,-0.368553198767819,0.566316941153654,-1.33198155821256,1.20926160370435,-2.65734813958697,-0.31724861440321,-0.229503565798294,0.106236896452101,-2.41453834483661,0.897048615255977,-1.25354830574116,-1.03557786705213,0.47464519753254,-1.8
7,1.059471618482,-3.61307800904257,-0.0420059155143519,0.556774295581509,0.370609251638255,-11.511186844501,-1.54811039885239,0.472629938254175,-0.0713528637792826,0.0731606417331504,1.16945689281053,-0.357941419513512,0.603077625996912,-1.72026715524454,12.0928411001188,-2.69225474274158,0.49176315039062,-0.185914415917326,0.0593713607989588,-1.50874152956822,-0.121443844925735,-3.3164770861303,-1.42524466805955,-1.65862631554174,-1.8
8,-0.33013528274279,-2.65218599925976,-0.0172163627590737,0.692079468349273,0.274301104810932,-6.0503066779154,-1.35752326918091,0.510479173904197,-0.131852126410314,0.090875776342272,1.07761063868688,-0.424652178020696,0.784570158869878,-1.84340933477656,0.911518759688145,-2.67399340412144,0.793441410683078,-0.229856595885322,0.0736093076584656,-0.794677410220419,-0.567793628536985,-2.14674081942441,-1.56914510678907,-0.285313879217784,-1.8
9,0.637880919566558,-4.32501101458651,-0.0260457981203245,0.196727673382731,-2.33881680212445,-13.7215745714328,-1.58584362500307,0.741035243379928,0.121560963492705,0.0454916608305068,0.834115692188748,-0.42672239593659,1.07250173007688,-1.65478087999616,1.04931606629376,-2.62574662875687,0.492658343652423,-0.474345291782885,0.0760880843887057,21.3661294500727,-1.69015814680077,-5.42395156589374,-8.37835632163872,-0.128708734600412,-1.8
10,0.356146874964657,-3.89654042927062,-0.0273988678458993,0.878294436319191,0.103813579157633,-9.45608627376225,-1.48124158179828,0.456917954094869,-0.0928397598076872,0.0816231878345209,1.21494274893854,-0.546386843976225,0.725900818272185,-1.86718740811964,6.05298665776028,-2.6366563163701,0.327809863842733,-0.264428825986547,0.0788621588499942,-2.34019855330919,0.119170279029959,-1.11401902097538,-0.940260630799803,-0.888605193054389,-1.8
11,1.30678247989305,-2.35557902657353,-0.00451217432713711,0.476727800008673,-0.143064114201739,-6.33530899621614,-1.46531170352639,0.268189508540537,-0.016976913490655,0.034257353634135,0.556048178029237,-0.288603269729913,0.331038038043835,-1.18232634542383,0.876106752078101,-2.8617271465113,0.325121604767809,-0.0343955314287072,0.217590423388192,0.286964528786995,-0.919310512599693,-3.87433458571183,-2.81444092680808,0.774491305558346,-1.8
12,-0.439064428823898,-2.80653913782678,-0.017570207769646,0.598290970596431,-1.27313084802266,-6.53040753749976,-1.00058376900412,0.528022477951974,-0.140571229886467,0.0780793067980001,1.15801730283645,-0.607779024354824,0.884603536958523,-1.65023296301521,0.576825753644086,-2.60665691987822,0.808038397924959,-0.400189735230006,0.0466347250391528,-0.398636420868444,-0.69456267174379,-2.41890843715112,-1.77158429358213,0.44011588182181,-1.8
13,0.788090709390836,-2.12230591457173,0.0128701088767944,0.76646059534506,-0.405035817643012,-5.30985142425902,-1.22696998243392,0.211082542057755,-0.0383816793347579,0.0256538510180122,0.215936709173224,-0.707073063683195,0.236348027598537,-0.925425275094323,0.636024173786345,-2.81024529859632,0.378523248772098,-0.148577489073259,0.466120285498988,-1.10032054725686,-0.136483890131779,-2.47270210826956,1.69759981442242,0.74348687561657,-1.8
14,0.34302475130594,-2.87336845948697,-0.0245175279799621,0.574709199879506,-0.208406807582775,-8.32549651702079,-1.42794938569008,0.378223196723626,-0.0678490546720873,0.0717917253710088,1.01709190338075,-0.576290895501733,0.694099471147353,-1.97820074935886,1.55742289029265,-2.8448642844638,0.599743221254125,-0.0802895961158359,0.235468092305354,-1.04807599467554,-0.281507056804925,-1.73425861199625,-3.24463319515362,-2.44966964505658,-1.8
15,1.58981613245695,-4.08381077019087,-0.0125177384070669,0.664093938865076,-1.04470106624508,-6.92378645040047,-1.34037193461147,0.481434481792926,-0.00894233333429863,0.0383567249248166,0.700400544781954,-0.27739107502188,0.40965451849247,-1.06641259417834,0.145450942795381,-2.70943356257251,0.526489462499568,-0.484264941096921,0.00046708169509156,-0.634007935685495,-0.759121984379432,-1.57014200872263,-1.21856213132115,0.814234146436617,-1.8
16,1.41584611555394,-3.55895880911158,-0.0363078350565207,0.680548880739723,-0.530559996061302,-7.45066567444881,-1.33959119391953,0.613189065270154,-0.0731394540424789,0.0288255811197378,0.511770282001228,-0.34688993790272,-0.278438405867043,-1.06644073505878,0.710936091814087,-2.80717043638356,0.394534266154711,-0.705895121235636,0.501744503961248,-1.3112797285761,0.0228502145430961,-2.58194119368414,-1.26979184340023,0.296795788435385,-1.8
17,0.876911853759038,-3.75784172486823,-0.015930687537751,0.798930355185089,-0.206084342071092,-7.85729825229927,-1.31294868844025,0.504770051775674,-0.0379331636244862,0.0475832440659021,0.723840681489008,-0.32210157678927,0.511825471621305,-1.24247267755177,0.70201483036354,-2.71006961943855,0.398965978658345,-0.341160656088115,-0.0178192894727376,-0.767301295254568,-0.669082264526551,-1.78629405792786,-1.25586037769873,1.17916634325163,-1.8
18,1.30287784512004,-3.95785789556114,-0.0439020324986448,0.66884174813982,-0.338098184040029,-6.12720245344089,-1.44197006533489,0.394327262296761,-0.0725271416804004,0.0556770841157276,1.02126002064067,-0.377945651578927,0.505158509472632,-1.42210926702364,1.52629825591939,-2.65093898765179,0.600630740207082,-0.267273482624708,0.130570634045936,-0.984014433550579,-0.424170115696564,-5.76993550992415,-0.567423871424577,0.0292908186105726,-1.8
19,1.08168052385328,-3.67483625553667,-0.0134069878361284,0.744492921804048,-0.550395549929906,-7.78681223803163,-1.4137916139963,0.481873551559888,-0.0322131587966954,0.043876253021452,0.748827899626657,-2.07450131253808,0.381563108331838,-1.2402174227448,2.51085608398915,-2.70269630245988,0.0577485183057942,-0.26319504565436,0.0673293463765891,-0.564969940144255,-0.282024072249849,-2.41152934602304,-1.46997247808373,0.345806945137627,-1.8
20,1.51882656671011,-3.39465461781005,-0.024478375851019,0.452880912521725,-1.2172107249909,-6.90660898980026,-1.26220609230737,0.647749235176351,-0.033388074823629,0.0239011983779026,0.562076898628579,-0.132975266104884,0.428146963372805,-1.0955517049771,0.444789624214967,-2.75693840034978,0.387230545529152,-0.244644324299655,0.0762878354025732,-0.580533193619591,-0.360978229607504,-1.48729698332463,-0.732895144704101,0.808833833180082,-1.8
21,1.1271132180439,-3.22248890253527,-0.0341159728746998,0.585377295459581,-0.955097121243058,-5.9711075465568,-1.48678676967397,0.842465719335508,-0.0679879678749412,0.0300298852744838,0.659113426132863,-0.142559371577136,-0.0511566627292395,-1.14223053572138,2.37787817419817,-2.66967715605193,0.3978132366045,-0.518783367291913,0.250595632016592,-1.46251427962617,-0.0619287538580058,-1.42384468389644,-0.567995054292865,-0.0544254960837669,-1.8
22,1.65190458431668,-3.58970429516596,-0.0204983878931547,0.528538141291588,-0.960219871086858,-7.11398121529048,-1.41999823880598,0.617523468900646,-0.0282875906304625,0.035276722364154,0.700961391875352,-0.406251978853622,0.129806841938717,-1.11855693071884,0.850184041622309,-2.80308947334763,0.111703702129804,-0.22401566909561,0.228056584443582,-1.03617550341544,-0.0273256257608584,-2.68646015286034,-2.0135334502253,0.566922398163115,-1.8
23,1.14536566987973,-3.22403902406252,-0.0118643252994148,0.473387781769763,-1.43630465491695,-6.24268283806418,-1.23327942076841,0.646385804178013,-0.0182691385721697,0.0281967392251145,0.645230334000839,-0.2175379624607,0.461594246520505,-1.02609256137739,0.440077612923986,-2.7365699541235,0.444387032361109,-0.949960185248859,0.0171758490947555,-1.33104117844657,-0.142372068702678,-1.3141016073155,-1.03337540737261,0.880729967487163,-1.8
24,0.985745578153053,-3.64484029783116,-0.0292809441180843,0.499626078209815,-1.31307198672652,-6.15825719836002,-1.2238867231935,0.655410252680001,-0.0289353593636264,0.0366613551676811,0.735899901638263,-0.305248306410203,0.609802476081428,-1.0929209552532,0.437542695321685,-2.67891906126987,0.493434544582867,-0.894726984023255,-0.0663385628915471,-1.50893359660472,-0.230475246600485,-2.55411412686145,-0.860381993363679,0.568041757630141,-1.8
25,0.0765700179542472,-3.37186139765475,-0.0327723110558674,0.735486402649559,0.0906649620796523,-5.99913219622929,-1.360293284921,0.414731174119881,-0.104259070801685,0.0768844929985225,1.36849970096643,-0.545754862827707,0.906809416868433,-1.9610588046551,2.33591205777884,-2.61668587029098,0.710914888796399,-0.300701164058801,0.095528918899051,-0.586508792588136,-1.0407426351096,-1.03382695071847,-4.8338772656929,-0.376837923885456,-1.8
26,1.90021105286625,-3.99758012802405,-0.0517664501902885,0.283018276941683,-1.04611493384633,-6.98124744488892,-1.34774472058292,0.595400384245505,-0.0335467739615363,0.0326287263082109,0.77028632120368,-0.317209596688415,0.259266994274283,-1.12653021894179,1.84231967359334,-2.67746015011545,0.70322584314046,-0.374726699555639,0.156921184059601,-0.938385439870492,-0.411990119533423,-1.41543208156335,-3.23907239466074,0.12335362589726,-1.8
27,1.44311681997518,-3.95554326153923,-0.0405075556006891,0.604449244790158,-0.897536331252388,-6.87026644093938,-1.1249970982644,0.562688629697457,-0.0558032438826916,0.0388140369768133,0.613834690198295,-0.258593049398147,0.571911467575971,-1.11475782008202,0.401316349246825,-2.70626429225517,0.451421132654028,-0.536130572381894,-0.032506652875834,-1.01569893151019,-0.3047369053139,-1.87428538280344,-0.871986910613252,0.561808288250305,-1.8
28,0.677665356117116,-3.82297114220488,-0.0308113529135348,0.23331480984058,-1.85216165535457,-7.21816918440828,-1.71970672670505,1.22855335610691,0.0123737733770624,0.0601474329792704,1.13119294021685,-0.203181560999032,0.994144483522057,-1.69830898990039,1.50936565512243,-2.68991693311137,0.32923291878713,-0.325747151544497,0.112751241641433,-2.60895133070778,0.114731001671968,5.1538536780889,-4.10442318980983,-0.467287438592875,-1.8
29,1.29869409134921,-3.47597342923028,-0.0091515428462182,0.599832196619797,0.647406949620741,-8.61899902707847,-1.48726907931127,0.526583492480963,0.0103564649661,0.0493781149061798,0.631958428468085,-1.10031356645765,0.368442213726186,-1.28032545900658,0.986517202266384,-2.83567105060847,0.0864870851047156,-0.0793048637557141,0.115481073507545,-0.995921180629134,-0.141825258229462,-1.98969935981249,-0.988800671403405,0.534835418512646,-1.8
30,0.718472788320961,-3.73958619057186,-0.032081412511361,0.581693140471621,-1.04244696403335,-6.85494459187191,-1.31846397210075,0.680465443725788,-0.0580648699191519,0.0467007784618485,0.937267718051775,-0.353610169457976,0.715818675752958,-1.35948964425563,1.12733261208779,-2.64201496902042,0.459636283979333,-0.602393595246636,-0.00292759180247908,-1.33739298904792,-0.239297109390333,-4.61920148662798,-0.65806291381704,0.215086794390939,-1.8
31,0.844365947298156,-3.17662803637604,-0.0260737877040489,0.157374155831437,-1.97105740516095,-9.77951843554149,-1.65936023648497,0.766761050304491,0.0894057850605998,0.047403756024804,0.660091440932942,-0.312736708942103,0.975425544610789,-1.76272801866911,0.917350515751709,-2.67438241694681,0.308505736893923,-0.295747363215896,-0.0205002835526724,-0.295726067427179,0.00362444613359761,-2.53916815110177,-2.79277665068795,0.139896965355108,-1.8
32,0.18988809552984,-4.27413142637408,-0.0265951378411086,0.415031655204177,-1.5653721881381,-7.89246257728505,-1.79293429107538,1.21012114593038,-0.0849107173856551,0.0800051731113799,1.45188601793145,-0.136213528214056,1.14167682102575,-1.89226465557923,1.91923260400123,-2.60279349243486,0.452504724188936,-0.390324786476233,0.0821007012074167,-1.93356152283015,-0.202880695977857,-1.53310147256314,-1.99565711750969,-0.178094691789213,-1.8
33,0.91370926764132,-3.52479099303469,-0.00861886142882951,0.630265560299332,-1.11217708863433,-5.59351892119175,-1.26079295362225,0.607360770087685,-0.036511237372922,0.0266953453183247,0.418491794000091,-0.0944156317618656,0.434591490382958,-1.10589060626379,0.414643065376683,-2.69160896885701,0.118607040737972,-0.754766253972253,0.0012866929010983,-0.547788866412737,-0.234143202795317,-2.13077186350031,-0.287853482543034,0.974352468208102,-1.8
34,1.1874980492194,-3.44310643394293,-0.0253634875624049,0.404772548231233,-1.10134802222958,-7.62509947627463,-1.18068933278174,0.58527581926325,-0.0222171704877095,0.0302170681448354,0.686574865447738,-0.257073365074643,0.555554924267382,-1.01716251258108,0.139515775614428,-2.6981875901118,0.438971001374124,-0.33543436398876,0.0432045946472115,-1.18530936444234,-0.252038104553398,-1.39178043230737,-2.45784695216763,0.631377075961717,-1.8
35,0.247541315156091,-3.37132536878247,-0.0330638589357228,0.566293312889526,-0.393889572302447,-11.6926028434683,-1.30649933209178,0.276422952463101,-0.180233353748379,0.0971925382457593,0.941417630615051,-0.257036821477485,0.899752036444904,-1.83548421839955,1.27295394025341,-2.62183342463071,0.364279796216281,-0.281029843131419,0.0745291624644187,0.753569560443317,-0.121896023015828,3.38561824643377,-5.2955820266166,-0.214313899895969,-1.8
36,0.286481640201558,-2.47084740284329,-0.0258952712073772,0.639132979327866,0.0716269514124177,-9.43937939004319,-1.27844281157735,0.206138056824183,-0.233809299472144,0.0803935990455091,0.829109114667301,-0.150266776064529,0.5722423175453,-1.55394262680195,1.29040468509061,-2.70287484866503,0.610113140359907,-0.146719182011481,0.170559770263281,1.35184491844901,-1.04689447515971,0.272324874455563,-1.34358667176269,-0.724468563658037,-1.8
37,1.38114536498717,-2.54158430320631,0.017829028693892,0.747466133171596,-0.586071922383154,-6.92416991275555,-1.4093560984335,0.277859952590977,0.0230958296242069,0.0253551700111294,0.196631639384121,0.0666948686926953,0.366046057298686,-1.01628094301875,0.44179366770643,-2.72357562008895,-0.0834992250217189,-0.131460076758787,0.126510627554093,-2.69332120113531,0.720364966458587,-0.695313512606841,-4.06050463952761,0.866141371967528,-1.8
38,0.753738004238883,-4.47684000089743,-0.0321108575371718,1.06841396247189,0.871906045596212,-8.9073813821055,-1.38932982277761,0.398998300156364,-0.0721452270778881,0.062902226748316,0.749326923639296,-0.455324646523028,0.640553529333981,-1.49075320351782,0.895511550796237,-2.63479763907517,0.465422294630335,-2.25619849562244,0.072004744708483,-0.62250249288982,-0.513896770325057,-1.5378219431821,-2.26582218059123,-0.684578758251774,-1.8
39,1.30356376916518,-3.61342358021012,-0.0195180501678636,0.294484823786991,-0.898371072329124,-6.18547808041133,-1.17627083444892,0.479725077203241,0.00270908964025834,0.0341158050225282,0.746729785827769,-0.439518006242003,0.318722222650546,-0.910115646507288,0.595515466255903,-2.68542465027514,0.574261671728157,-0.336998331875724,0.206070754608175,-1.59761834076289,-0.214221446491073,-2.15456708137549,-3.49777557521795,0.492613706014506,-1.8
40,1.17727159461549,-3.05200697694242,-0.0407056345976558,0.6239967041805,-0.540924005970489,-8.40952323271357,-1.58762004205487,0.433936847290545,-0.151709703192317,0.0515179345128001,0.911356560026289,-0.168836018884406,0.403005417234795,-1.64658208128861,2.14042814849904,-2.69830436906799,0.108484589798233,-0.177837286699905,0.163228527285645,0.506734091243532,-0.138226629349057,0.657022816507005,-7.25633249065864,-0.701625224082915,-1.8
41,0.843267614894208,-3.42710245696972,-0.0172504432440059,0.168641818566354,-2.07695164610006,-6.08507395481523,-1.34232592322121,0.517917228299898,0.0909066446392017,0.0381024228600778,0.461385874954202,-0.312400898491061,0.802610589195665,-1.24777278345003,0.643018336726807,-2.64468369829428,0.416301339790834,-0.307326803673752,0.0349922241021301,-14.3117812185329,1.98792509919127,-8.66826717274362,1.00780091302743,0.405880002044917,-1.8
42,0.0670075864826683,-2.85816543394022,-0.0273873104174723,0.577155813704803,-0.36045402581634,-6.72282564114092,-1.32765332168234,0.431473440934954,-0.119643718082861,0.0951847083490773,1.22955059192391,-0.586104865804968,0.829778041546437,-2.13474016495759,1.9886335926361,-2.68790272736271,0.602797367881042,-0.214072296768995,0.140751779534324,-0.832834035596863,-0.346666577210051,-0.225309930751248,-8.1401193744871,-0.281585690012334,-1.8
43,1.56024789705592,-4.07384106664939,-0.0450241779147453,0.522588685617668,-0.857381687543471,-8.36905540880316,-1.19928508108499,0.559276213187273,-0.0515805082384827,0.0315230410397112,0.726065474593955,-0.373998998122014,0.410131694077051,-1.07320281304265,1.06453338414915,-2.64974754420764,0.300403295883882,-0.286450901590947,0.134038868455208,-0.956202931447586,-0.245915911874852,-2.83795838267214,-2.32598433211622,0.202952935912325,-1.8
44,2.29401066224028,-5.14368375117888,-0.0671260330690997,0.465875876843961,-1.363991460002,-7.31073664937946,-1.65903132001252,0.693739397003629,-0.0381478328246229,0.0393716577494398,1.01874864433023,-0.273986838946117,0.440075018921934,-1.39863560188975,3.10293569221787,-2.62831817204302,0.392116268515109,-0.664478933062804,0.120092294631353,-0.753476291082556,-0.11760642595183,-0.82622767164772,-0.753041424073482,-0.328657356563768,-1.8
45,1.41973911600273,-3.89612928565672,-0.0314319842408691,0.583540190278311,-0.945728822409776,-6.98258193240179,-1.31994668994046,0.613741926357385,-0.0266610534419636,0.0386874526358096,0.649259124545364,-0.28039168632104,0.523197162316472,-1.18849567706027,0.727009243466984,-2.68183849363312,0.304552265742283,-0.313239913639992,0.0603435835341802,-1.0736521178041,-0.166064503291793,-1.59286242799189,-4.01148652513527,0.290585918810854,-1.8
46,0.961642880531983,-1.82942292994139,-0.0277348765432232,0.781765374628532,-0.289783072761089,-8.68952862917413,-1.25580664542291,0.0909464065821167,-0.0636793485305078,0.0316135698012839,0.0496742174201365,0.153769816153162,0.203384980536943,-1.21348931735382,0.47653582629473,-2.76550854928479,0.464193065972547,-1.75391435254214,0.239041827969002,-0.212592235093744,-0.28073026558035,-1.8933416142652,-4.74071567318623,0.766475262083316,-1.8
47,0.494083560946271,-3.49096395035271,-0.0268113574937615,0.718175916917743,0.0409340262107919,-7.62211251325354,-1.17524027586411,0.343907804359392,-0.0781911677017377,0.0683296024409011,0.959251482528445,-0.663401680687457,0.733166317596556,-1.56687580231083,0.995719319647891,-2.75211383853284,0.619679500973644,-0.30866712367101,0.0381051040236485,-0.502550259822939,-1.61702876988015,-1.52253499568023,-6.75702183479505,0.126216751547212,-1.8
48,1.24988982884145,-3.56846990406639,-0.0250625149661015,0.512304996282338,-1.01634413626953,-11.093802116943,-1.2471508817652,0.634963835553323,-0.03555574105608,0.0312579997740708,0.620450982687153,-0.219552852432585,0.469177163395849,-1.131440960424,0.472593420272145,-2.68068503205812,0.0216957561339914,-0.221046318130031,0.102796022042818,-0.917883755356848,0.0623623021782011,-4.09334750417106,-0.600847853098956,1.06903702018548,-1.8
49,2.41893228700019,-7.6630654626267,-0.071721979385157,0.775039068633132,-1.40826142271755,-8.39098934718987,-1.51236880932849,0.514951737816714,-0.0494555252477164,0.0376986508058547,0.845799966030285,-0.305346252295533,0.375344825175995,-1.3012868932768,3.65465933496784,-2.57414565242055,0.287163109972583,-4.02175836777493,0.0876869497601795,2.3219950676236,-0.375149600145176,0.910832337133722,-3.07272661656032,-0.293192636357298,-1.8
